AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_SEQ_ID,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC_SEQ_ID2,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,UTC_LOCAL_TIME_VARIATION,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1325601,13256,MFE,McAllen Miller International,"Mission/McAllen/Edinburg, TX",7401,74,United States,US,Texas,TX,48.0,3325601,33256,"Mission/McAllen/Edinburg, TX",7401,74,26.0,N,10.0,37.0,26.17694444,98.0,W,14.0,23.0,-98.23972222,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1326401,13264,MFR,Medford Jackson County,"Medford, OR",9201,92,United States,US,Oregon,OR,41.0,3326401,33264,"Medford, OR",9201,92,42.0,N,22.0,25.0,42.37361111,122.0,W,52.0,20.0,-122.87222222,-800.0,1/1/1950 12:00:00 AM,2/28/1995 12:00:00 AM,0,0
1327701,13277,MGM,Dannelly Field,"Montgomery, AL",5101,51,United States,US,Alabama,AL,1.0,3327701,33277,"Montgomery, AL",5101,51,32.0,N,18.0,0.0,32.3,86.0,W,23.0,28.0,-86.39111111,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1329001,13290,MHK,Manhattan Regional,"Manhattan/Ft. Riley, KS",6201,62,United States,US,Kansas,KS,20.0,3329001,33290,"Manhattan/Ft. Riley, KS",6201,62,39.0,N,8.0,32.0,39.14222222,96.0,W,40.0,8.0,-96.66888889,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1329601,13296,MHT,Grenier Field/Manchester Municipal,"Manchester, NH",1401,14,United States,US,New Hampshire,NH,33.0,3072101,30721,"Boston, MA (Metropolitan Area)",1301,13,42.0,N,56.0,18.0,42.93833333,71.0,W,26.0,20.0,-71.43888889,-500.0,1/1/1950 12:00:00 AM,12/31/1977 12:00:00 AM,0,0
1330301,13303,MIA,Miami International,"Miami, FL",3301,33,United States,US,Florida,FL,12.0,3246701,32467,"Miami, FL (Metropolitan Area)",3301,33,25.0,N,47.0,33.0,25.7925,80.0,W,17.0,10.0,-80.28611111,-500.0,1/1/1950 12:00:00 AM,3/31/1980 12:00:00 AM,0,0
1334201,13342,MKE,General Mitchell Field,"Milwaukee, WI",4501,45,United States,US,Wisconsin,WI,55.0,3334201,33342,"Milwaukee, WI",4501,45,42.0,N,57.0,1.0,42.95027778,87.0,W,53.0,50.0,-87.89722222,-600.0,1/1/1950 12:00:00 AM,5/31/1986 12:00:00 AM,0,0
1334401,13344,MKG,Muskegon County,"Muskegon, MI",4301,43,United States,US,Michigan,MI,26.0,3334401,33344,"Muskegon, MI",4301,43,43.0,N,10.0,14.0,43.17055556,86.0,W,14.0,15.0,-86.2375,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1334701,13347,MKK,Molokai,"Hoolehua, HI",201,2,United States,US,Hawaii,HI,15.0,3334701,33347,"Hoolehua, HI",201,2,21.0,N,9.0,10.0,21.15277778,157.0,W,6.0,0.0,-157.1,-1000.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1336001,13360,MLB,Melbourne Regional,"Melbourne, FL",3301,33,United States,US,Florida,FL,12.0,3336001,33360,"Melbourne, FL",3301,33,28.0,N,6.0,9.0,28.1025,80.0,W,38.0,35.0,-80.64305556,-500.0,1/1/1950 12:00:00 AM,6/30/1993 12:00:00 AM,0,0
